State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,8.425997101,1.585942012,3.025500731,2.158915944,1.943780298,1.088635119,1.306568911,1.730796507,0.588871799,4.414421504,1.845415024,2.705987205,1.151137549,1.793932241,2.14242022,0.362667457,2.159646625,1.12772476,1.49679973,1.257457988,1.828581613,1.988772056,1.256744182,2.682242562,1.65300912,1.668193206,1.823428044
1,9.088767445,0,1.554381154,0,0,1.534336056,0,0.331524306,1.457412059,0,0,0,0,0,0,0,0,0,0,0.313887271,0,0.282573233,0,0,0,0.182022186,0
2,1.442676719,0.748601033,0.679324313,0.164567624,0.565496937,0.734305099,1.627577775,0.800919447,-0.146251595,1.035828053,2.18761109,0.948774572,0.635932825,0.905767547,1.56150117,1.150498228,1.331217958,0.827127847,7.502748827,1.203654182,0.576241922,1.143063255,0.522792348,1.946823696,0.656884404,0.532267032,0.651756872
3,19.23413755,0.989819198,2.057690806,0.823956691,0.926434508,-0.011885669,4.731491986,0.934761771,0.597989044,0.54397896,0.992949759,1.684260657,1.161435221,-0.011885669,0.449652591,0.810168087,1.666878723,0.646984098,-0.084652765,1.611322996,0.936173747,0.86140126,-0.074257129,-0.105651704,4.368746867,1.296244624,0.464642334
4,7.551538335,-0.014373026,-0.388528933,2.856833994,0.046882103,1.024678039,1.186751047,0.235503954,-0.304250138,2.542393686,1.235044364,-0.011916345,1.325039171,0.661137532,-0.014661275,0.344208532,-0.19404651,0.485628699,2.45452489,0.207522846,0.182822708,2.538251273,0.274723275,1.765305303,1.309775166,1.040412228,0.18849283
5,1.510932056,2.503130178,1.89008167,3.624147217,1.429772048,0.221494145,3.92749468,0.081202768,0.922758033,0.391411051,1.135227208,2.288958255,1.692485158,3.066978518,1.998616418,0.39206467,-0.188967489,0.10208064,2.421912602,1.123566774,2.399152682,0.994916075,9.234137551,2.623683681,1.072213237,1.004412616,1.632431471
