State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,-0.142312338,0.5,-0.29,-0.062915001,1.435938166,1.560936655,0.995,3.029365005,0,-0.1,-0.2,1.247618458,0.42361107,20.96824292,3.01924759,0.60081305,-0.1,3.267661292,-0.19931547,0.731473302,0.60081305,-0.1,1.641358985,-0.1,-0.380962517,0,1.888681763
1,-0.022436413,-0.076100733,-0.047956674,-0.156562998,-0.131326335,-0.158309177,-0.160855697,-0.141929423,-0.112310771,-0.151466052,-0.209731629,-0.157335357,-0.085031515,-0.081397262,0.929769765,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.408245142,-0.324956354,-0.464165825,-0.278486883,-0.430143852,-0.279597016,-0.293728215,-0.308409322,11.95935731,-0.398,-0.359882946,-0.448225589,-0.375314825,-0.289248098,-0.291026161,-0.331292515,-0.324828929,-0.383835361,-0.325882341,-0.346464855,-0.306953146,-0.296762952,-0.399082897,-0.402590137,-0.280567918,-0.292266838,-0.398
3,-0.064535719,-0.037076539,-0.012328391,-0.31412,-0.061759,-0.120397394,-0.302758064,-0.100157666,-0.2,-0.088122768,-0.001877748,-0.005914443,-0.007322999,-0.008590699,-0.009725274,-0.076671279,-0.01293302,8.565790068,0,0,-0.13412,0,-0.125845378,0,0,-0.199168885,-0.183980232
4,0.25948388,0,-0.022708,0,0,0,0,0,4.363828106,0,0,0,0,0,0,-0.0568,0,0,0,0,0,0.01390652,0,0,0,0,0
5,0,0,-0.106189032,0,0,-0.319997612,0,0.115975137,0.3,0,-0.1034372,-0.018494301,0,0,0.25568282,0,-0.1034372,4.869200542,0,-0.13412,-0.13412,-0.13412,0,0,0,0,0
